,city,page_link,sleeps,area_sqm,bedrooms,bathroom,price,currency
114,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/studio-st-germain-montparnasse-vavin-19720/,2,32,studio,1,77,€
115,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/studio-lautrec-20019/,2,15,studio,1,53,€
116,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/studio-toulouse-20023/,2,15,studio,1,53,€
117,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/alesia-terrasse-20738/,3,80,2,2,64,€
118,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/terrasse-ourcq-20739/,6,90,2,2,64,€
119,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/bastille-sedaine-atelier-20740/,2,24,1,1,63,€
120,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/charme-vaugirard-20741/,4,113,3,1,56,€
121,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/design-marais-temple-20742/,3,50,studio,1,103,€
122,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/le-bon-marche-cherche-midi-20743/,4,115,2,2,95,€
123,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/studio-marais-charlot-20745/,2,28,studio,1,77,€
124,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/montmartre-20750/,4,45,1,1,41,€
125,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/eiffel-tower-champfleury-20752/,6,135,3,2,72,€
126,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/montmartre-classic-family-20793/,6,123,3,1,39,€
127,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/louvre-royal-ii-21758/,8,92,2,2,3,€
128,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/saint-mande-21849/,4,48,1,1,29,€
129,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/eiffel-village-studio-102-21859/,2,18,studio,1,13,€
130,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/eiffel-village-studio-201-21861/,2,18,studio,1,12,€
131,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/eiffel-village-202-21862/,2,18,studio,1,10,€
132,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/george-v-21936/,4,75,1,1,78,€
133,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/saint-honore-etoile-21938/,2,80,1,1,211,€
134,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/fashion-reaumur-22522/,2,48,1,1,147,€
135,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/champs-elysees-argentine-22523/,4,68,1,1,54,€
136,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/classic-jardin-des-plantes-22525/,6,89,2,1,37,€
137,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/family-lenoir-22526/,6,75,3,1,40,€
138,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/family-voltaire-22527/,6,100,3,2,49,€
139,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/luxe-marais-bretagne-22528/,4,70,1,1,54,€
140,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/purple-rain-22579/,4,40,1,1,59,€
141,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/peaceful-opera-22580/,5,50,2,1,60,€
142,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/gauguin--23054/,4,35,1,1,37,€
143,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/artiste-du-montmartre-23113/,2,15,1,1,46,€
144,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/le-passage-du-marais--23114/,4,50,1,1,52,€
145,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/loft-saint-germain-23116/,3,35,1,1,38,€
146,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/studio-la-fontaine-23118/,2,15,studio,1,50,€
147,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/hauteville-grands-boulevards-23357/,6,120,2,1,51,€
148,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/louvre-saint-honore-23359/,4,48,1,1,53,€
149,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/artois-champs-elysees-23360/,4,27,studio,1,30,€
150,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/foch-23362/,4,25,studio,1,33,€
151,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/saint-philippe-du-roule-23364/,6,61,2,1,50,€
152,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/musee-dorsay-23370/,2,28,studio,1,72,€
153,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/marie-batignolles-23682/,4,34,1,1,44,€
154,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/notre-dame-saint-michel--23691/,2,29,1,1,72,€
155,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/mouffetard-latin--24452/,2,27,1,1,31,€
156,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/luxe-elysees-24453/,4,85,1,2,48,€
157,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/chuquet-24748/,2,60,1,1,63,€
158,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/saint-louis-le-regrattier-24749/,2,50,1,1,80,€
159,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/rome-batignolles-24750/,3,43,1,1,46,€
160,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/27-rosiers-24781/,2,30,1,1,109,€
161,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/maison-family-mouton-duvernet-24782/,8,100,3,2,48,€
162,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/parc-des-expositions-24783/,2,40,1,1,121,€
163,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/lombards-ii-24784/,6,50,2,1,46,€
164,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/passage-de-lhomme-24804/,4,58,1,1,42,€
165,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/babylone-24806/,3,30,1,1,51,€
166,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/lauriston-24807/,4,32,1,1,37,€
167,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/marignan-24808/,2,38,1,1,80,€
168,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/gassendi-24809/,4,56,2,1,64,€
169,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/quai-des-celestins-24811/,3,40,1,1,51,€
170,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/quincampoix-a--24813/,4,30,1,1,46,€
171,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/thorigny-24819/,4,50,2,2,73,€
172,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/huchette-24846/,3,30,studio,1,61,€
173,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/saint-jacques-24850/,4,60,2,2,45,€
174,https://www.waytostay.com/paris-apartments/,https://www.waytostay.com/paris-apartments/saint-marc--24858/,2,30,studio,1,73,€
